Name,Terminal Name,ID,Latitude,Longitude
"Garnet Street, Shadwell",200045,453,51.508447,-0.055167
"Napier Avenue, Millwall",200046,454,51.487679,-0.021582
"East Ferry Road, Cubitt Town",200031,455,51.49447,-0.014409
"Parkway, Camden Town",200118,456,51.538071,-0.144664
"Castlehaven Road, Camden Town",200016,457,51.542138,-0.145393
"Wapping Lane, Wapping",200034,458,51.504749,-0.057544
"Gunmakers Lane, Old Ford",200014,459,51.535179,-0.03338
"Burdett Road, Mile End",200123,460,51.516196,-0.029138
"Aston Street, Stepney",200013,461,51.516,-0.038775
"Bonny Street, Camden Town",200105,462,51.541603,-0.138853
"Thurtle Road, Haggerston",200093,463,51.534776,-0.071881
