Terminal Name,ID,Number of Docks,Name
200248,569,30,"Pitfield Street Central, Hoxton"
200099,570,36,"Upper Bank Street, Canary Wharf"
200061,571,29,"Westfield Southern Terrace ,Shepherd's Bush"
200026,572,36,"Greenland Road, Camden Town"
200001,573,18,"Limerston Street, West Chelsea"
200246,574,45,"Eagle Wharf Road, Hoxton"
200109,576,23,"Alpha Grove, Millwall"
200247,577,20,"Globe Town Market, Bethnal Green"
200244,578,32,"Hollybush Gardens, Bethnal Green"
200128,579,36,"Queen Street 2, Bank"
200084,580,36,"Doddington Grove, Kennington"
200231,583,20,"Abingdon Green, Westminster"
200086,584,21,"Ilchester Gardens, Bayswater"
200092,586,31,"Mudchute DLR, Cubitt Town"
200101,587,22,"Monument Street, Monument"
200071,588,27,"Hoxton Street, Hoxton"
200060,589,18,"Drayton Gardens, West Chelsea"
200236,590,26,"Greenberry Street, St.John's Wood"
200227,591,27,"Westfield Library Corner, Shepherd's Bush"
200108,592,20,"Bishop's Bridge Road East, Bayswater"
200058,593,21,"Northdown Street, King's Cross"
200226,594,33,"Kingsway Southbound, Strand"
200142,595,22,"Hammersmith Road, Hammersmith"
200237,596,21,"Parson's Green , Parson's Green"
200229,597,27,"Fulham Park Road, Fulham"
200166,598,38,"Southerton Road, Hammersmith"
200235,599,28,"Manbre Road, Hammersmith"
200133,600,21,"South Lambeth Road, Vauxhall"
200136,601,36,"BBC White City, White City"
200211,602,45,"Union Grove, Wandsworth Road"
200137,603,44,"Caldwell Street, Stockwell"
200195,604,18,"St Martins Close, Camden Town"
200198,605,29,"Seymour Place, Marylebone"
200218,606,26,"Addison Road, Holland Park"
200125,607,21,"Putney Bridge Station, Fulham"
200224,608,30,"Colet Gardens, Hammersmith"
200208,609,19,"Sugden Road, Clapham"
200222,610,21,"Danvers Street, West Chelsea"
200067,611,20,"Princedale Road , Holland Park"
200175,612,30,"Wandsworth Rd, Isley Court, Wandsworth Road"
200214,613,24,"Woodstock Grove, Shepherd's Bush"
200025,614,21,"London Fields, Hackney Central"
200029,615,24,"Finlay Street, Fulham"
200098,616,24,"Aintree Street, Fulham"
200028,617,21,"Elysium Place, Fulham"
300003,618,24,"Eel Brook Common, Walham Green"
300012,619,43,"Irene Road, Parsons Green"
300010,620,28,"Surrey Lane, Battersea"
200091,621,33,"Wandsworth Town Station, Wandsworth"
200172,622,29,"Lansdowne Road, Ladbroke Grove"
200186,623,22,"Nantes Close, Wandsworth"
200173,624,40,"Courland Grove, Wandsworth Road"
200190,625,28,"Queen's Circus, Battersea Park"
300008,626,24,"Normand Park, West Kensington"
200007,627,20,"Holden Street, Battersea"
200062,628,26,"William Morris Way, Sands End"
200187,629,28,"Morie Street, Wandsworth"
200194,630,27,"Clarence Walk, Stockwell"
200183,631,27,"Battersea Park Road, Nine Elms"
200176,632,28,"Sheepcote Lane, Battersea"
200116,633,32,"Vereker Road, West Kensington"
300002,634,33,"Brook Green South, Brook Green"
200215,635,37,"Greyhound Road, Hammersmith"
200180,636,28,"South Park, Sands End"
200191,637,25,"Spencer Park, Wandsworth Common"
300014,638,28,"Falcon Road, Clapham Junction"
200179,640,28,"Silverthorne Road, Battersea"
300025,641,23,"Archbishop's Park, Waterloo"
200192,642,36,"Fawcett Close, Battersea"
300026,643,22,"All Saints' Road, Portobello"
200182,644,36,"Rainville Road, Hammersmith"
200200,645,21,"Great Suffolk Street, The Borough"
200178,646,16,"Buckingham Gate, Westminster"
